healthCode,wav_path
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-19366c86-024e-44cf-ae99-ceede7b0dd3c5853784064149578694.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-dec46a8b-9dc7-4047-8fbc-1ab0585021d78706159057530957259.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-2151b896-eb0b-48e1-be60-f90cb15d50ed676570413432756700.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-2d53dc05-feb7-4e87-80a5-d8c6f275e5424701888179253393330.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-01819650-da20-4528-ad4c-bc1d9820ee921797416384672986819.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-047d77d7-f454-4056-9975-e5ab09ca12227378234404261762327.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-87cbe207-1f14-47b7-8eb4-2f630453f7855622062430551133037.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-14264c2d-4f67-450b-abf6-c6a0fca734591098714406527524588.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-23750f8f-1281-41e0-96ef-ac1ec38ad6927299819589518317544.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-688e6cfb-bd09-48b1-b5c3-143614cbcd296227509017886231693.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-3c5ebb71-035a-4f1f-bc1a-313f61e10a145011629812467050913.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-2bd55467-c0ef-4bc9-b07f-3dffeb8b65af250657389481610564.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-ec896fc5-007f-4c03-9e0e-839bc75473158028552690639598417.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-7f598f80-f75e-461c-aa05-f8a2f7a0705b757683255816670663.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-5a68dca1-a8fc-40bf-9185-d743743731fe6096009282571676789.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-4bce359d-1535-45a4-8dc4-ecf2cb1bbd2a5267541002494423034.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-70a0aa30-a351-477d-a18e-231cf5f5b38a3612904592201808251.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-251e787b-02d2-4409-a986-52cb1a7035382982047845939342895.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-705f43d1-9ab2-44cd-bd4e-280441ac39ef4233081636563616865.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-3cf9103f-685a-4369-b1a4-26d47543310f8155199137663466559.wav
064de206-eaac-4b95-b30f-d4c558c5cd0c,audio_files/negative/audio_audio.m4a-d399f270-0301-4fb7-8c16-c1c0c702970d7431199954078269006.wav
